edificio,unidad,estado,entrega,dormitorios,banos,planta,m2_cubiertos,m2_balcon,m2_jardin_uso_exclusivo,m2_propios,m2_boleto_total,cochera,precio_lista_usd,usd_m2_boleto,forma_de_pago,anticipo_usd,cuotas,cuota_mensual_usd,saldo_contra_entrega_usd,expensas_mensuales_ars,expensas_desde,disponible,observacion,lista,fecha_lista
Casona 2,PB B,terminado,inmediata,2,2,PB,77.08,5.3,32.5,82.38,132.88,si,219250,1650,contado o crédito hipotecario del comprador,,,,,270000,posesión,si,,Lista N°5 Casona 2,2025-10-01
Casona 2,PB C,terminado,inmediata,2,2,PB,69.8,7.6,29.15,77.4,126.12,si,208095,1650,contado o crédito hipotecario del comprador,,,,,270000,posesión,si,,Lista N°5 Casona 2,2025-10-01
Casona 2,PB E,terminado,inmediata,2,1,PB,67.05,7.6,28.4,74.65,122.38,si,201935,1650,contado o crédito hipotecario del comprador,,,,,270000,posesión,si,,Lista N°5 Casona 2,2025-10-01
Casona 2,PB F,terminado,inmediata,1,1,PB,40.76,0,26.1,40.76,76.38,si,126022,1650,contado o crédito hipotecario del comprador,,,,,220000,posesión,si,,Lista N°5 Casona 2,2025-10-01
Casona 2,1º G,terminado,inmediata,2,1,1º piso,67.05,7.6,0,74.65,122.38,si,203954,1667,contado o crédito hipotecario del comprador,,,,,270000,posesión,si,,Lista N°5 Casona 2,2025-10-01
Casona 2,2º C,terminado,inmediata,3,2,2º piso,93.35,7.6,0,100.95,163.56,si,275271,1683,contado o crédito hipotecario del comprador,,,,,330000,posesión,si,,Lista N°5 Casona 2,2025-10-01
Casona 2,2º F,terminado,inmediata,3,2,2º piso,97.05,7.6,0,104.65,168.58,si,349725,2075,contado o crédito hipotecario del comprador,,,,,330000,posesión,si,Se entrega amoblado y equipado por Interiores B.AP; su USD/m² no es comparable con el resto,Lista N°5 Casona 2,2025-10-01
Casona 2,3º D,terminado,inmediata,3,2,3º piso,97.05,7.6,0,104.65,168.58,si,286507,1700,contado o crédito hipotecario del comprador,,,,,330000,posesión,si,,Lista N°5 Casona 2,2025-10-01
Casona 3,PB A,en obra,2029 (estimada),2,2,PB,69.8,7.6,29.25,77.4,124.42,si,247582,1990,40% anticipo + 40% en 30 cuotas (USD o pesos ajustados por CAC) + 20% contra entrega,99033,30,3301,49516,270000,posesión (2029),si,,Lista financiada Casona 3 (planilla de superficies Rev. 25),2025-10-21
Casona 3,PB B,en obra,2029 (estimada),2,2,PB,77.08,5.3,32.5,82.38,131.18,si,262557,2002,40% anticipo + 40% en 30 cuotas (USD o pesos ajustados por CAC) + 20% contra entrega,105023,30,3501,52511,270000,posesión (2029),si,,Lista financiada Casona 3 (planilla de superficies Rev. 25),2025-10-21
